CPUs	Nodes	NodesxCPU	COLROW	Day1_Timing_sec	Day2_Timing_sec	TotalTime	CPU Hours/day	SBATCHexclusive	Equation using Spot Pricing	SpotCost	Equation using On Demand Pricing	OnDemandCost	compiler flag	InputData	cpuMhz	Scaling	IdealScaling	Efficiency	ComputeNode	MS_Opt_Pin
36	1	1x36	6x6	7349.06	6486.37	13835.43	1.92	no	$.3168/hr * 1 nodes * 3.84 =	1.22	3.186/hr * 1 nodes * 3.84 =	12.23	with -march=native compiler flag	/shared	2693.67	1.852684015	2	92.63420074	HC44rs	no
40	1	1x40	4x10	6685.74	5935.01	12620.75	1.75	no	$.3168/hr * 1 nodes * 3.5 =	1.11	3.168/hr * 1 nodes * 3.5 =	11	with -march=native compiler flag	/shared	2693.671	2.030994988	2.222222222	91.39477448	HC44rs	no
72	2	2x36	8x9	4090.8	3549.6	7640.4	1.06	no	$.3168/hr * 2 nodes * 2.12 =	1.34	3.168/hr * 2 nodes * 2.12 =	13.4	with -march=native compiler flag	/shared	2693.763	3.354887179	4	83.87217947	HC44rs	no
108	3	3x36	9x12	2912.59	2551.08	5463.67	0.758	no	$.3168/hr * 3 nodes * 1.517 =	1.44	3.168/hr * 3 nodes * 1.517 =	14.41	with -march=native compiler flag	/shared	2693.672	4.691476608	6	78.1912768	HC44rs	no
126	7	7x18	9x14	2646.52	2374.21	5020.73	0.69	no	$.3168/hr * 7 nodes * 1.517 =	3.36	3.168/hr * 7 nodes * 1.517 =	33.64	with -march=native compiler flag	/shared	2693.761	5.10536914	7	72.93384485	HC44rs	no
144	4	4x36	12x12	2449.39	2177.28	4626.67	0.64	no	$.3168/hr * 4 nodes * 1.285 =	1.63	3.168/hr * 4 nodes * 1.285 =	16.28	with -march=native compiler flag	/shared	2693.672	5.540200619	8	69.25250774	HC44rs	no
180	5	5x36	10x18	2077.22	1851.77	3928.99	0.545	no	$.3168/hr * 5 nodes * 1.09 =	1.72	3.168/hr * 5 nodes * 1.09 =	17.26	with -march=native compiler flag	/shared	2693.805	6.523987081	10	65.23987081	HC44rs	no
216	6	6x36	18x12	1908.15	1722.07	3630.22	0.504	no	$.3168/hr * 6 nodes * 1.01 =	1.92	3.168/hr * 6 nodes * 1.01 =	19.16	with -march=native compiler flag	/shared	2693.671	7.060916418	12	58.84097015	HC44rs	no
288	8	8x36	16x18	1750.36	1593.29	3343.65	0.464	no	$.3168/hr * 8 nodes * .928 =	2.35	3.168/hr * 8 nodes * .928 =	39.54	with -march=native compiler flag	/shared	2693.783	7.66607749	16	47.91298431	HC44rs	no
36	1	1x36	6x6	5933.48	5230.05	11163.53	1.55	no	$1.4/hr * 1 nodes * 3.1 hr =	4.34	$3.6/hr * 1 nodes * 3.1 hr =	11.2	without -march=native compiler flag	/data	1846.533	1.803966129	2	90.19830645	HB120	no
96	1	1x96	12x8	2683.51	2374.71	5058.22	0.702	yes	$1.4/hr * 1 node * 1.405 hr =	1.97	$3.6/hr * 1 node * 1.405 hr = $5.058	5.05	with -march=native	/data NetApp	NA	3.981366963	5.333333333	74.65063056	HB120	yes
120	1	1x120	12x10	3028.54	2741.83	5770.37	0.801	yes	$1.4/hr * 1 nodes * 1.6 hr =	2.24	$3.6/hr * 1 nodes * 1.6 hr =	5.76	without -march=native compiler flag	/shared	NA	3.490006707	6.666666667	52.3501006	HB120	no
120	1	1x120	12x10	2594.57	2371.46	4966.03	0.698	yes	$1.4/hr * 1 nodes * 1.38 hr =	1.93	$3.6/hr * 1 nodes * 1.38 hr =	4.968	without -march=native compiler flag	/data NetApp	NA	4.055277556	6.666666667	60.82916334	HB120	no
192	2	2x96	16x12	2337.53	NA	NA	NA	NA	NA	NA	NA	NA	with -march=native	/shared	NA	NA	10.66666667	NA	HB120	yes
192	2	2x96	16x12	2148.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	/shared	NA	NA	10.66666667	NA	HB120	no
192	2	2x96	16x12	2367.27	2276.14	4643.41	0.645	yes	$1.4/hr * 1 nodes * 1.29 hr =	1.81	$3.6/hr * 2 nodes * 1.29 hr =	9.29	without -march=native compiler flag	/data NetApp	NA	4.337034636	10.66666667	40.65969971	HB120	no
192	2	2x96	16x12	2419.51	2243.45	4662.96	0.648	yes	$1.4/hr * 1 nodes * 1.295 hr =	1.81	$3.6/hr * 2 nodes * 1.29 hr =	9.29	without -march=native compiler flag	/data NetApp	NA	4.318851116	10.66666667	40.48922921	HB120	no
